timestamp,station_id,temperature_celsius,wind_speed_knots,pressure_hpa,humidity_percent,solar_radiation_wm2,generator_load_percent,energy_consumed_kwh,battery_level_percent,fuel_level_liters,fuel_burn_rate_lph,food_inventory_kg,station_occupancy,predicted_energy_kwh,anomaly_prediction,anomaly_status,energy_remaining_kwh,energy_consumption_per_day_kwh,energy_endurance_days,fuel_consumption_per_day_litres,fuel_endurance_days,risk_score,risk_status,recommended_fuel_litres,additional_fuel_required_litres,energy_status,fuel_status
2026-09-10 00:00:04,MAITRI,-28.69,55.36,991.34,82.44,0.0,96.33,0.2,71.1,24999.95,36.61,5000.0,17,0.21,0,ANOMALY_GENERATOR_OVERLOAD,355.5,3452.4,0.1,878.55,28.46,55,WARNING,6764.81,0.0,CRITICAL,NORMAL
2026-09-10 00:00:04,BHARATI,-29.38,39.36,1003.3,72.95,0.0,77.05,0.21,76.89,24999.96,29.28,5000.0,28,0.22,0,NONE,384.43,3698.31,0.1,702.68,35.58,0,NORMAL,5410.63,0.0,CRITICAL,NORMAL
2026-09-10 00:00:09,MAITRI,-24.03,23.43,999.56,68.37,0.0,70.63,0.2,78.81,24999.91,26.84,5000.0,26,0.21,0,NONE,394.06,3390.13,0.12,644.12,38.81,0,NORMAL,4959.76,0.0,CRITICAL,NORMAL
2026-09-10 00:00:09,BHARATI,-20.17,14.33,1003.78,75.67,0.0,67.78,0.19,79.67,24999.92,25.76,4999.99,29,0.2,0,NONE,398.33,3253.31,0.12,618.13,40.44,0,NORMAL,4759.59,0.0,CRITICAL,NORMAL
2026-09-10 00:00:14,MAITRI,-28.24,16.25,1008.64,69.84,0.0,74.65,0.21,77.6,24999.87,28.37,4999.99,25,0.22,0,NONE,388.02,3583.31,0.11,680.83,36.72,0,NORMAL,5242.38,0.0,CRITICAL,NORMAL
2026-09-10 00:00:14,BHARATI,-26.1,37.71,1003.71,66.03,0.0,74.41,0.21,77.68,24999.88,28.27,4999.99,30,0.22,0,NONE,388.39,3571.47,0.11,678.58,36.84,0,NORMAL,5225.05,0.0,CRITICAL,NORMAL
2026-09-10 00:00:19,MAITRI,-17.18,36.7,1001.67,71.82,0.0,63.43,0.18,80.97,24999.84,24.11,4999.99,26,0.19,0,NONE,404.85,3044.86,0.13,578.52,43.21,0,NORMAL,4454.63,0.0,CRITICAL,NORMAL
2026-09-10 00:00:19,BHARATI,-25.44,53.4,971.17,76.59,0.0,98.17,0.2,70.55,24999.83,37.3,4999.99,22,0.21,0,ANOMALY_GENERATOR_OVERLOAD,352.75,3384.63,0.1,895.28,27.92,55,WARNING,6893.66,0.0,CRITICAL,NORMAL
2026-09-10 00:00:24,MAITRI,-22.94,36.27,1005.95,67.15,0.0,65.88,0.18,80.24,24999.8,25.04,4999.99,17,0.19,0,NONE,401.18,3162.39,0.13,600.85,41.61,0,NORMAL,4626.58,0.0,CRITICAL,NORMAL
2026-09-10 00:00:24,BHARATI,-22.21,43.79,974.61,78.55,0.0,98.85,0.18,70.34,24999.78,37.56,4999.99,19,0.19,0,ANOMALY_GENERATOR_OVERLOAD,351.72,3164.25,0.11,901.55,27.73,55,WARNING,6941.95,0.0,CRITICAL,NORMAL
